target_gene_name,interactor_gene_name,interaction_stoichiometry
ACTG1,CAPZA1,0.029166811
ACTG1,CAPZA2,0.022056352
ACTG1,CAPZB,0.031027907
ACTG1,CCDC53,0.001695936
ACTG1,CCT2,0.008822057
ACTG1,CCT3,0.010810261
ACTG1,CCT4,0.008000195
ACTG1,CCT5,0.008107696
ACTG1,CCT6A,0.006442152
ACTG1,CCT7,0.004592319
ACTG1,CCT8,0.011694077
ACTG1,CFL1,0.030300812
ACTG1,CFL2,0.020394623
ACTG1,CKAP2,0.007803716
ACTG1,COBL,0.001170315
ACTG1,COBLL1,4.74E-05
ACTG1,CSRP2BP,0.000568544
ACTG1,CYFIP1,0.019391822
ACTG1,CYFIP2,0.008225103
ACTG1,DCTN1;DKFZP686E0752,0.018868095
ACTG1,DCTN2,0.044036999
ACTG1,DCTN3,0.018429011
ACTG1,DCTN4,0.012904248
ACTG1,DCTN5,0.003381924
ACTG1,DLG5,9.67E-05
ACTG1,DPF2,0.006572267
ACTG1,DYNC1I2,0.000254803
ACTG1,DYNC1LI1,7.37E-05
ACTG1,ENAH,2.504304372
ACTG1,EP400,0.000439927
ACTG1,EVL,0.011376349
ACTG1,FAM21A,7.42E-05
ACTG1,FBXO30,0.002021137
ACTG1,FLII,0.005694936
ACTG1,FMN2,0.00029714
ACTG1,FMNL2,0.000190975
ACTG1,GATAD2B,0.000642878
ACTG1,GMFB,0.000579003
ACTG1,GPHN,0.003244469
ACTG1,GSN,0.038930392
ACTG1,INF2,0.014082787
ACTG1,KIAA1522,0.034102055
ACTG1,LRRFIP1,0.003368648
ACTG1,LRRFIP2,0.05739281
ACTG1,MAP3K4,0.014033782
ACTG1,MKL1;MKL1,0.015302275
ACTG1,MKL2,0.019661643
ACTG1,MNS1,0.001486833
ACTG1,MRFAP1,0.085849767
ACTG1,MTFR1,0.011625991
ACTG1,MTFR2,0.000857878
ACTG1,MYO9B,9.04E-05
ACTG1,NCKAP1,0.01378245
ACTG1,NCKIPSD,0.001734691
ACTG1,PACSIN2,0.001055521
ACTG1,PAFAH1B1,0.000394675
ACTG1,PDCL3,0.004737265
ACTG1,PFN1,0.219677085
ACTG1,PFN2,0.217864646
ACTG1,PHACTR2,0.003318759
ACTG1,PHACTR4,0.011055085
ACTG1,POTEE;POTEJ;POTEI,0.002347503
ACTG1,PRR11,0.000169102
ACTG1,PXK,0.003175633
ACTG1,SCIN,0.000332396
ACTG1,SMARCA4,0.010306782
ACTG1,SMARCB1,0.009897246
ACTG1,SMARCC1,0.008956139
ACTG1,SMARCC2,0.001361941
ACTG1,SMARCD1,0.000994481
ACTG1,SMARCD2,0.001762938
ACTG1,SMARCE1,0.007250237
ACTG1,SMC2,0.000336151
ACTG1,SPATS2L,0.00197581
ACTG1,SPIRE1,0.009243493
ACTG1,SPIRE2,0.000764489
ACTG1,SPTAN1,0.001854185
ACTG1,SPTBN1,0.001286854
ACTG1,SRCAP,0.001226941
ACTG1,SS18,0.011540583
ACTG1,STOM,0.000992881
ACTG1,TCP1,0.018645877
ACTG1,TMEM11,0.001736616
ACTG1,TMOD1,0.003686669
ACTG1,TMOD2,0.002206142
ACTG1,TUBGCP4,0.000409021
ACTG1,TWF1,0.118310868
ACTG1,TWF2,0.200090326
ACTG1,UNNAMED,
ACTG1,VASP,0.13545329
ACTG1,WASF1,0.016395678
ACTG1,WASF2,0.043115179
ACTG1,WASF3,0.004132076
ACTG1,WASH3P;WASH2P;WASH6P;WASH1;WASH4P,0.002123776
ACTG1,WASL,0.069236747
ACTG1,WDR1,0.03277111
ACTG1,WDR44,0.002522622
ACTG1,WHAMM;WHAMMP3,0.000856041
ACTG1,WIPF2,0.01628017
ACTG1,WIPF3,0.012611492
ACTN1,ACTN4,1.765513349
ACTN1,CAAP1,0.000959193
ACTN1,RELA,0.005487002
ACTN1,TOP3B,0.000625937
ACTN2,NME2;NME1-NME2;NME1,324.9181758
ACTN2,SUMO3;SUMO2;SUMO4,992.3601783
ACTN4,ACTN1,0.106829727
ACTN4,ACTR2,0.008148372
ACTN4,AIF1L,0.001533549
ACTN4,ARPC1A,0.001359786
ACTN4,ARPC1B,0.001348656
ACTN4,ARPC2,0.0012949
ACTN4,ARPC4-TTLL3;ARPC4,0.004968128
ACTN4,ARPC5,0.001703682
ACTN4,ARPC5L,0.000944736
ACTN4,CAPZA1,0.00637133
ACTN4,CAPZA2,0.001944157
ACTN4,CAPZB,0.004381131
ACTN4,CTTN,0.008327628
ACTN4,LMO7,0.003456242
ACTN4,MYO1B,0.000661999
ACTN4,PDLIM1,0.00128141
ACTN4,PPP1R12A,0.000347368
ACTN4,PPP1R9B,0.007334968
ACTN4,SPECC1L;SPECC1L-ADORA2A,0.000251888
ACTN4,UNNAMED,0.003945497
ACTR2,ACTR3,1.120151758
ACTR2,ACTR3B,0.068698783
ACTR2,ANGPT1,0.006869028
ACTR2,ANP32A,0.004910981
ACTR2,APPL1,0.001708759
ACTR2,ARL1,0.005158759
ACTR2,ARPC1A,0.579914855
ACTR2,ARPC1B,0.132671284
ACTR2,ARPC2,0.676840655
ACTR2,ARPC3,1.151108049
ACTR2,ARPC4-TTLL3;ARPC4,0.425668028
ACTR2,ARPC5,0.598103293
ACTR2,ARPC5L,0.678155085
ACTR2,ATIC,0.000839422
ACTR2,BAIAP2,0.000474729
ACTR2,CEP85L,0.000102064
ACTR2,CHURC1;CHURC1-FNTB,0.000839234
ACTR2,CLASP1,0.000697328
ACTR2,CLEC16A,0.005826861
ACTR2,CRTC2,0.000208935
ACTR2,EIF2B1,0.000236793
ACTR2,ESD,0.000129513
ACTR2,GAPDH,0.032114621
ACTR2,HSP90AB2P,0.006870162
ACTR2,KLC2,0.000807327
ACTR2,MARK2,0.00013604
ACTR2,MNDA,0.00099585
ACTR2,MTHFD1,0.000636665
ACTR2,NCKIPSD,0.002777663
ACTR2,NDUFA10,0.001768685
ACTR2,NME2,0.004083413
ACTR2,PAICS,0.003182251
ACTR2,PFN1,0.012884811
ACTR2,PPIA,0.041879544
ACTR2,PRDX2,0.00532974
ACTR2,PSMA4,0.002678037
ACTR2,RANBP1,0.006843776
ACTR2,SYDE2,0.000283213
ACTR2,TBC1D4,0.000795975
ACTR2,TRAPPC4,0.001310199
ACTR2,TRAPPC8,4.81E-06
ACTR2,UNNAMED,0.267859121
ACTR2,UPF2,5.75E-06
ACTR2,YWHAB,0.105207257
ACTR2,YWHAE,0.199616137
ACTR2,YWHAG,0.020413756
ACTR2,YWHAH,0.05752563
ACTR2,YWHAQ,0.053054614
ACTR2,YWHAZ,0.744012546
ACTR5,INO80C,0.553950164
AGAP1,AGAP3,0.137212124
AGAP1,TANC1,0.004522433
AGAP3,AGAP1,0.670604379
AGAP3,AHCYL1,0.004358373
AGAP3,C12ORF57,0.020584329
AGAP3,DCTN1;DKFZP686E0752,1.52E-05
AGAP3,TANC1,0.01371271
AGAP3,UBE2O,0.001370815
