target_gene_name,interactor_gene_name,pval
ACTG1,CAPZA2,14.4143076
ACTG1,CAPZB,20.51043251
ACTG1,CCDC53,8.43506517
ACTG1,CCT2,14.70640555
ACTG1,CCT3,10.20188675
ACTG1,CCT4,20.60337556
ACTG1,CCT5,17.75772148
ACTG1,CCT6A,9.392983383
ACTG1,CCT7,12.52332292
ACTG1,CCT8,15.35185933
ACTG1,CFL1,9.677987933
ACTG1,CFL2,7.22890821
ACTG1,CKAP2,18.05145758
ACTG1,COBL,11.65084808
ACTG1,COBLL1,26.27238438
ACTG1,CSRP2BP,30.33132722
ACTG1,CYFIP1,16.04556746
ACTG1,CYFIP2,9.678708938
ACTG1,DCTN1;DKFZP686E0752,56.69147789
ACTG1,DCTN2,16.20771597
ACTG1,DCTN3,18.45168151
ACTG1,DCTN4,27.21893665
ACTG1,DCTN5,18.01975327
ACTG1,DLG5,4.219507777
ACTG1,DPF2,36.20506549
ACTG1,DYNC1I2,8.546430192
ACTG1,DYNC1LI1,4.764673495
ACTG1,ENAH,32.31784321
ACTG1,EP400,6.014977717
ACTG1,EVL,92.14726072
ACTG1,FAM21A,11.44202518
ACTG1,FBXO30,18.82005224
ACTG1,FLII,10.63469799
ACTG1,FMN2,33.2429191
ACTG1,FMNL2,47.99085629
ACTG1,GATAD2B,6.70708651
ACTG1,GMFB,10.46256523
ACTG1,GPHN,20.85091766
ACTG1,GSN,7.679466234
ACTG1,INF2,25.2967567
ACTG1,KIAA1522,29.08264675
ACTG1,LRRFIP1,12.27313747
ACTG1,LRRFIP2,8.278484158
ACTG1,MAP3K4,23.88590393
ACTG1,MKL1;MKL1,46.46394162
ACTG1,MKL2,64.69748247
ACTG1,MNS1,18.78770678
ACTG1,MRFAP1,11.52092904
ACTG1,MTFR1,26.122803
ACTG1,MTFR2,12.99392896
ACTG1,MYO9B,6.05194295
ACTG1,NCKAP1,12.95728178
ACTG1,NCKIPSD,17.82022023
ACTG1,PACSIN2,4.821113762
ACTG1,PAFAH1B1,7.700379895
ACTG1,PDCL3,33.33506967
ACTG1,PFN1,9.636762344
ACTG1,PFN2,17.38628232
ACTG1,PHACTR2,12.58187547
ACTG1,PHACTR4,69.60076333
ACTG1,POTEE;POTEJ;POTEI,7.466803859
ACTG1,PRR11,4.058274511
ACTG1,PXK,43.63238538
ACTG1,SCIN,21.20614174
ACTG1,SMARCA4,48.04431507
ACTG1,SMARCB1,15.84626601
ACTG1,SMARCC1,16.45763653
ACTG1,SMARCC2,35.74107729
ACTG1,SMARCD1,26.65381621
ACTG1,SMARCD2,59.24294717
ACTG1,SMARCE1,45.08590007
ACTG1,SMC2,5.942347512
ACTG1,SPATS2L,35.61320937
ACTG1,SPIRE1,25.87016225
ACTG1,SPIRE2,14.2294476
ACTG1,SPTAN1,18.44033758
ACTG1,SPTBN1,6.757270618
ACTG1,SRCAP,60.87021606
ACTG1,SS18,96.45677407
ACTG1,STOM,7.256682993
ACTG1,TCP1,9.472429808
ACTG1,TMEM11,20.78634368
ACTG1,TMOD1,7.855004005
ACTG1,TMOD2,5.428878924
ACTG1,TUBGCP4,12.0998478
ACTG1,TWF1,53.44409519
ACTG1,TWF2,11.97074586
ACTG1,UNNAMED,9.985455579
ACTG1,VASP,91.77963553
ACTG1,WASF1,21.23555329
ACTG1,WASF2,11.66773074
ACTG1,WASF3,20.34867058
ACTG1,WASH3P;WASH2P;WASH6P;WASH1;WASH4P,84.74996397
ACTG1,WASL,96.34224004
ACTG1,WDR1,7.110794244
ACTG1,WDR44,21.27173868
ACTG1,WHAMM;WHAMMP3,30.11697354
ACTG1,WIPF2,18.33997018
ACTG1,WIPF3,24.60782361
ACTN1,ACTN4,38.09946545
ACTN1,CAAP1,6.078170695
ACTN1,RELA,5.255361785
ACTN1,TOP3B,4.96722507
ACTN2,NME2;NME1-NME2;NME1,4.188273915
ACTN2,SUMO3;SUMO2;SUMO4,3.604296667
ACTN4,ACTN1,79.44612272
ACTN4,ACTR2,9.019093937
ACTN4,AIF1L,43.03993176
ACTN4,ARPC1A,10.88002816
ACTN4,ARPC1B,35.04055602
ACTN4,ARPC2,12.11956972
ACTN4,ARPC4-TTLL3;ARPC4,8.066295839
ACTN4,ARPC5,11.59736117
ACTN4,ARPC5L,19.78607615
ACTN4,CAPZA1,8.497810387
ACTN4,CAPZA2,10.80105548
ACTN4,CAPZB,8.965368846
ACTN4,CTTN,8.133300981
ACTN4,LMO7,13.20475606
ACTN4,MYO1B,9.109928332
ACTN4,PDLIM1,16.30662211
ACTN4,PPP1R12A,7.670197333
ACTN4,PPP1R9B,10.8290906
ACTN4,SPECC1L;SPECC1L-ADORA2A,30.92165493
ACTN4,UNNAMED,10.34929921
ACTR2,ACTR3,11.16581296
ACTR2,ACTR3B,13.11243997
ACTR2,ANGPT1,4.407001028
ACTR2,ANP32A,3.089088849
ACTR2,APPL1,3.163574063
ACTR2,ARL1,3.041498124
ACTR2,ARPC1A,18.33849537
ACTR2,ARPC1B,17.96297237
ACTR2,ARPC2,17.17554658
ACTR2,ARPC3,20.75867747
ACTR2,ARPC4-TTLL3;ARPC4,10.63640638
ACTR2,ARPC5,29.18868838
ACTR2,ARPC5L,26.52619457
ACTR2,ATIC,3.947237181
ACTR2,BAIAP2,4.599215376
ACTR2,CEP85L,3.786151357
ACTR2,CHURC1;CHURC1-FNTB,6.127992359
ACTR2,CLASP1,3.480801127
ACTR2,CLEC16A,12.15815243
ACTR2,CRTC2,3.084254964
ACTR2,EIF2B1,3.989967193
ACTR2,ESD,4.066573342
ACTR2,GAPDH,5.042354994
ACTR2,HSP90AB2P,4.088511305
ACTR2,KLC2,3.557421731
ACTR2,MARK2,2.624166956
ACTR2,MNDA,8.666648444
ACTR2,MTHFD1,3.762936994
ACTR2,NCKIPSD,8.275295423
ACTR2,NDUFA10,2.318474064
ACTR2,NME2,3.456807379
ACTR2,PAICS,4.309044396
ACTR2,PFN1,3.101862955
ACTR2,PPIA,3.777081777
ACTR2,PRDX2,3.478399605
ACTR2,PSMA4,3.158019752
ACTR2,RANBP1,3.471648539
ACTR2,SYDE2,2.796311495
ACTR2,TBC1D4,4.332019223
ACTR2,TRAPPC4,3.875189553
ACTR2,TRAPPC8,5.705831709
ACTR2,UNNAMED,9.069634892
ACTR2,UPF2,5.083103205
ACTR2,YWHAB,12.1321454
ACTR2,YWHAE,11.74929254
ACTR2,YWHAG,7.192072415
ACTR2,YWHAH,9.852437441
ACTR2,YWHAQ,7.551572342
ACTR2,YWHAZ,26.80707902
ACTR5,INO80C,49.66373876
AGAP1,AGAP3,25.3013838
AGAP1,TANC1,4.033760124
AGAP3,AGAP1,64.76668829
AGAP3,AHCYL1,4.577230825
AGAP3,C12ORF57,7.801189158
AGAP3,DCTN1;DKFZP686E0752,7.538614433
AGAP3,TANC1,11.96276937
AGAP3,UBE2O,6.854769839
AGO1,AGO2,9.12638015
AGO1,TNRC6A,10.00682762
AGO1,TNRC6B,14.22136789
AGO1,TNRC6C,10.15836883
AGO2,AGO1,6.737950831
AGO2,AGO3,15.28282976
AGO2,CNDP2,5.372058379
AGO2,COPS6,15.75718074
AGO2,FKBP5,23.08350099
AGO2,NELFA,7.503040345
AGO2,TNRC6A,9.618449795
AGO2,TNRC6B,14.97396557
AGO2,TNRC6C,17.97265025
AGPAT6,CHP1,52.37328644
AGPAT6,MSH6,4.599218665
AGPAT6,TMEM120B,18.06865476
AHCY,ANKRD40,64.08286258
AHCY,C1ORF50,120.2993714
AHCY,ENO2,12.58546331
AHCY,ERLIN2,17.45394787
AHCY,GAK,3.549190965
AHSA1,AP2M1,5.582098996
AHSA1,APLP2,6.630539695
AHSA1,ECT2,7.404825265
AHSA1,FKBP5,5.655713571
AHSA1,GDAP2,5.262444511
AHSA1,HSP90AA1,23.68817043
AHSA1,HSP90AB1,22.89901667
AHSA1,HSP90AB2P,8.59191507
AHSA1,HSP90B1,2.995488528
AHSA1,KPNB1,10.15253713
AHSA1,RICTOR,5.52236292
AHSA1,RNF219,18.24227296
AHSA1,TOMM40,14.19668906
AKAP12,ACADM,7.624682331
AKAP12,FHL1,6.290645162
AKAP12,GAPDH,7.398832831
AKAP12,HSPA12A,33.16260932
AKAP12,LDHA,5.405245835
AKAP12,ORC4,11.38574977
AKAP12,PRKACA,10.68936772
AKAP12,PRKAR2A,25.45746302
AKAP12,TRAP1,6.886775245
AKAP13,ARHGEF18,4.681412049
AKAP8L,HSPD1,8.569712408
AKR1A1,PRKAA1,7.381302338
AKT1,GPHN,4.595592234
AKT1,RPS6KB2;RPS6KB1,14.87201687
AKT1,VASP,8.129793237
AKT1S1,MTOR,67.76125031
AKT1S1,RPTOR,93.72688805
AKT1S1,YWHAE,8.347605691
AKT1S1,YWHAG,23.42215261
AKT1S1,YWHAH,7.258383626
AKT2,AP1G1,11.24078294
ALCAM,ABCC1,23.62123048
ALCAM,LAMB1,5.291408614
ALDH16A1,DCTN2,4.071429625
ALDH16A1,DERA,13.19248568
ALDH16A1,KIAA0430,7.534060738
ALDH16A1,PRR14L,7.985358097
ALDH16A1,TRIAP1,6.440534966
ALG2,LDHA,10.01369578
ALG2,TECR,102.6420051
