target_gene_name,interactor_gene_name,pval,enrichment,interaction_stoichiometry,abundance_stoichiometry
ACTB,GSN,12.82813507,3.231799796,4.079029247,0.004481756
ACTB,HIST1H2AJ;HIST1H2AH;HIST1H2AG;H2AFJ,3.921636188,1.674530638,9.781224998,4.240857831
ACTB,INF2,28.36315393,5.450505932,0.040962134,0.008346655
ACTB,KIAA0100,33.87394399,6.624341409,0.190825086,0.007509798
ACTB,LEO1,3.821949629,2.608559355,0.02588447,0.001160724
ACTB,LRRC20,12.62460891,3.138052303,0.711282484,0.002485363
ACTB,LRRFIP1,7.478850476,2.212485674,0.533661001,0.010312296
ACTB,MAP3K4,94.28436321,10.15873914,1.717189676,0.000574415
ACTB,MBIP,67.32536612,8.358000099,0.185556969,0.001599262
ACTB,MKL1;MKL1,56.42708807,7.462949765,0.68498522,0.000653876
ACTB,MKL2,37.60955356,6.082999727,0.569087529,0.000586118
ACTB,MRFAP1,5.351523615,1.969420742,0.837324207,0.034128178
ACTB,MTFR1,5.120732031,1.98634751,0.08366561,0.001529446
ACTB,MTSS1L,20.29875619,2.991527054,0.041636923,0.005168632
ACTB,NCKAP1,12.01218919,3.275851914,0.108858565,0.009188729
ACTB,PAFAH1B1,23.22310763,4.58699836,0.050882301,0.036304946
ACTB,PDCL3,56.25792486,7.430886658,2.722116713,0.009111316
ACTB,PFDN6,4.389229635,1.978812233,0.120311939,0.075497172
ACTB,PFN1,16.91672186,3.964847135,16.094129,0.253732197
ACTB,PFN2,20.5542591,4.208696389,4.726293131,0.008026108
ACTB,PHACTR2,72.50397627,8.309534005,0.326419544,0.001052612
ACTB,PHACTR4,66.42132593,8.262883263,1.655474473,0.002426576
ACTB,PHACTR4,74.19538029,8.815489048,0.678460715,0.002426576
ACTB,PHF10,12.65660709,3.775306412,0.032815154,0.003332862
ACTB,POTEE,4.379512323,1.748123085,0.241190751,5.71E-05
ACTB,PXK,10.79835695,2.843098906,0.052370554,0.000590663
ACTB,RUVBL1,9.744170251,2.654884438,1.040642929,0.096159068
ACTB,RUVBL2,17.68694077,3.733972524,0.649797442,0.03853248
ACTB,SCIN,6.280778855,2.964637299,0.099175706,0
ACTB,SH3BGRL2,7.859515123,2.475047531,0.282390435,0.00107732
ACTB,SKP1,6.09213518,2.101809631,1.07507334,0.066354459
ACTB,SMARCA4,70.24259745,8.527951378,0.24030099,0.009367822
ACTB,SMARCB1,94.59564057,10.09382689,0.948683886,0.014623697
ACTB,SMARCC1,10.3053742,2.71733773,2.1664161,0.007738387
ACTB,SMARCC2,38.80948027,6.175417103,0.303789504,0.002505644
ACTB,SMARCD1,40.57148377,5.176932957,0.054566964,0.010856768
ACTB,SMARCD2,24.64080807,4.634891825,0.151410503,0.006218077
ACTB,SMARCE1,11.80547317,3.061237006,19.64960441,0.021789284
ACTB,SPIRE1,4.868339213,2.148359886,1.225260333,0.001304382
ACTB,SPTAN1,12.73428373,3.633802654,0.091154769,0.021939854
ACTB,SPTBN1,14.22635563,3.633797782,0.173787871,0.029217566
ACTB,SRCAP,32.9926028,5.566223911,0.117892575,0.002100863
ACTB,TADA3,7.238594915,2.201352352,0.002401874,0.002367619
ACTB,TCP1,12.61110906,3.183467987,8.165630048,0.183027461
ACTB,TMOD1,8.586937421,2.576367089,0.311082601,0.001892746
ACTB,TMOD2,12.63259022,3.376286492,0.306543693,6.79E-05
ACTB,TMOD3,7.988230045,2.389134625,3.244010579,0.014782791
ACTB,TMSB10,7.557447983,2.510419169,12.29451507,0.560238246
ACTB,TWF1,59.00113637,7.835413763,4.714688528,0.013669752
ACTB,TWF2,44.50655246,6.245000614,0.558361585,0.040627036
ACTB,VASP,79.56882585,9.116920669,1.241825264,0.001125545
ACTB,VPS72,39.82577895,5.910253348,0.379153068,0.008319086
ACTB,WASF2,16.63259082,3.814096858,0.075783657,0.005149943
ACTB,WASL,94.78085858,11.31378894,1.914440032,0.001506492
ACTB,WDR1,14.92938011,3.547501115,0.43947589,0.042994825
ACTB,WDR44,10.07885411,2.445594804,0.002501913,0.007526006
ACTB,WDR5,6.03912174,2.122330884,0.284963916,0.013506744
ACTB,WIPF3,29.04934236,6.663370285,0.327240331,0.000133595
ACTB,YEATS2,13.01304405,3.249168601,0.167893248,0.001237174
ACTB,YEATS4,8.107757643,2.45003813,0.436091109,0.010122993
ACTB,YWHAE,5.592952936,2.089557614,0.987243311,0.560747646
ACTB,ZW10,7.174393434,2.215896999,0.003070673,0.009691847
ACTB,ZZZ3,6.076032641,2.234794158,0.065600234,0.000976498
ACTG1,ABI1,19.48105956,4.034625511,0.023165343,0.040325743
ACTG1,ABI2,17.04841797,3.541570548,0.003504576,0.007509724
ACTG1,ACTC1,8.855726973,3.442117515,0.041374547,16.32100282
ACTG1,ACTL6A,47.27835065,6.344750096,0.018940118,0.764082455
ACTG1,ACTR10,26.83800618,4.601060907,0.010398259,0.20149289
ACTG1,ACTR1A,19.58470124,3.720128239,0.041239711,0.791180757
ACTG1,ACTR1B,13.26767787,3.402408973,0.001220476,0.122785468
ACTG1,ADD1,7.71048459,2.056761153,0.003246829,0.441761668
ACTG1,ADD3,18.54394882,3.909649123,0.00279036,0.266565237
ACTG1,ALAS1,34.38136581,5.20479928,0.0004911,0.039928013
ACTG1,ARHGAP12,62.45645729,7.173245599,0.001017747,0.001421706
ACTG1,ARHGAP27,23.54990018,5.572527009,0.000881093,0.003213184
ACTG1,ARHGAP32,17.86977888,3.595540439,0.000383057,0.004526279
ACTG1,ARID1A,12.52656275,2.807114796,0.001970451,0.097095356
ACTG1,ARID1B,88.39616934,8.838396632,0.000585689,0.087144297
ACTG1,ARPC1B,6.980884817,2.291735028,0.003116223,0.696313301
ACTG1,ARPC2,6.54277774,2.127351332,0.004503966,1.423867341
ACTG1,ARPC3,7.675329373,2.306100852,0.01544277,0.477151935
ACTG1,ARPC5,9.511723811,2.634880774,0.005168379,0.305398734
ACTG1,ARPC5L,11.98488489,2.824462651,0.002338853,0.615859593
ACTG1,BAIAP2,34.79507485,5.265848857,0.102250916,0.166065101
ACTG1,BAIAP2L1,75.33787179,8.118473808,0.129430877,0.195195849
ACTG1,BCL7A,10.65930612,3.417062103,0.000974101,0.083732164
ACTG1,BCL7B,24.26372139,4.164424053,0.002998887,0.107557869
ACTG1,BCL7C,60.16580015,7.231644697,0.001731691,0.040760677
ACTG1,BRK1,17.61232662,3.650210895,0.020859588,0.491255667
ACTG1,CAP1,12.25697634,2.905460617,0.296711147,1.433164617
ACTG1,CAP2,92.06500318,9.260182496,0.043424204,0.196966118
ACTG1,CAPZA1,8.486506551,2.464752571,0.029166811,3.083809704
ACTG1,CAPZA2,14.4143076,3.264328478,0.022056352,0.716327302
ACTG1,CAPZB,20.51043251,3.932875763,0.031027907,0.92555629
ACTG1,CCDC53,8.43506517,3.090481965,0.001695936,0.064847404
ACTG1,CCT2,14.70640555,3.237128894,0.008822057,6.085429873
ACTG1,CCT3,10.20188675,2.624705836,0.010810261,6.337301775
ACTG1,CCT4,20.60337556,4.067208378,0.008000195,6.804274907
ACTG1,CCT5,17.75772148,3.564309321,0.008107696,8.486720957
ACTG1,CCT6A,9.392983383,2.407305471,0.006442152,12.2989845
ACTG1,CCT7,12.52332292,2.732937579,0.004592319,4.733555123
ACTG1,CCT8,15.35185933,3.256981274,0.011694077,8.512023433
ACTG1,CFL1,9.677987933,2.636495297,0.030300812,16.15088532
ACTG1,CFL2,7.22890821,2.215639021,0.020394623,1.456164387
ACTG1,CKAP2,18.05145758,3.617769999,0.007803716,0.137371184
ACTG1,COBL,11.65084808,2.699718098,0.001170315,0.005842405
ACTG1,COBLL1,26.27238438,4.483795028,4.74E-05,0.028156814
ACTG1,CSRP2BP,30.33132722,4.846760425,0.000568544,0.001828908
ACTG1,CYFIP1,16.04556746,3.375859456,0.019391822,0.607566448
ACTG1,CYFIP2,9.678708938,2.601982546,0.008225103,0.69419793
ACTG1,DCTN1;DKFZP686E0752,56.69147789,7.029437298,0.018868095,1.060751012
ACTG1,DCTN2,16.20771597,3.413991311,0.044036999,1.107266027
ACTG1,DCTN3,18.45168151,3.919237262,0.018429011,0.479525913
ACTG1,DCTN4,27.21893665,4.381478625,0.012904248,0.118419001
ACTG1,DCTN5,18.01975327,3.56154339,0.003381924,0.02378998
ACTG1,DLG5,4.219507777,2.310259824,9.67E-05,0.002127952
ACTG1,DPF2,36.20506549,5.287423928,0.006572267,0.105785482
ACTG1,DYNC1I2,8.546430192,3.315005349,0.000254803,0.521773279
ACTG1,DYNC1LI1,4.764673495,2.513726196,7.37E-05,0.741677654
ACTG1,ENAH,32.31784321,4.991693531,2.504304372,0.74337412
ACTG1,EP400,6.014977717,2.301635905,0.000439927,0.021671411
ACTG1,EVL,92.14726072,9.589619839,0.011376349,0.14524501
ACTG1,FAM21A,11.44202518,3.490713838,7.42E-05,0.206479117
ACTG1,FBXO30,18.82005224,3.779594217,0.002021137,0.039016648
ACTG1,FLII,10.63469799,2.680898853,0.005694936,0.130650361
ACTG1,FMN2,33.2429191,5.124031862,0.00029714,0.000840766
ACTG1,FMNL2,47.99085629,6.738305126,0.000190975,0.01316545
ACTG1,GATAD2B,6.70708651,2.042178239,0.000642878,0.387388092
ACTG1,GMFB,10.46256523,3.633436692,0.000579003,0.261337709
ACTG1,GPHN,20.85091766,3.921147294,0.003244469,0.148137174
ACTG1,GSN,7.679466234,2.207955232,0.038930392,0.155869489
ACTG1,INF2,25.2967567,4.546234523,0.014082787,0.290285524
ACTG1,KIAA1522,29.08264675,4.975154092,0.034102055,0.064793719
ACTG1,LRRFIP1,12.27313747,2.978431069,0.003368648,0.358647895
ACTG1,LRRFIP2,8.278484158,2.279475501,0.05739281,0.063117811
ACTG1,MAP3K4,23.88590393,3.624497041,0.014033782,0.019977376
ACTG1,MKL1;MKL1,46.46394162,6.076816427,0.015302275,0.022740924
ACTG1,MKL2,64.69748247,7.658728388,0.019661643,0.020384407
ACTG1,MNS1,18.78770678,3.777554561,0.001486833,0.003661673
ACTG1,MRFAP1,11.52092904,2.624199095,0.085849767,1.186932489
ACTG1,MTFR1,26.122803,4.402856375,0.011625991,0.053192076
ACTG1,MTFR2,12.99392896,3.198642002,0.000857878,0.015275842
ACTG1,MYO9B,6.05194295,2.033075303,9.04E-05,0.021366057
ACTG1,NCKAP1,12.95728178,3.096013821,0.01378245,0.319571739
ACTG1,NCKIPSD,17.82022023,3.394676631,0.001734691,0.154293373
ACTG1,PACSIN2,4.821113762,2.625074128,0.001055521,0.71137056
ACTG1,PAFAH1B1,7.700379895,2.959798245,0.000394675,1.262637596
ACTG1,PDCL3,33.33506967,5.286569013,0.004737265,0.316879405
ACTG1,PFN1,9.636762344,2.745277442,0.219677085,8.824467331
ACTG1,PFN2,17.38628232,3.678199404,0.217864646,0.279137336
ACTG1,PHACTR2,12.58187547,2.970452818,0.003318759,0.036608449
ACTG1,PHACTR4,69.60076333,7.875187338,0.011055085,0.084393083
ACTG1,POTEE;POTEJ;POTEI,7.466803859,2.335737785,0.002347503,0.005959306
ACTG1,PRR11,4.058274511,2.538752719,0.000169102,0.127800759
ACTG1,PXK,43.63238538,6.243154585,0.003175633,0.020542483
ACTG1,SCIN,21.20614174,4.097679131,0.000332396,0
ACTG1,SMARCA4,48.04431507,6.466061308,0.010306782,0.325800345
ACTG1,SMARCB1,15.84626601,3.473027599,0.009897246,0.508592662
ACTG1,SMARCC1,16.45763653,3.400698668,0.008956139,0.269130778
